# qlnes-spike-trace v0
# columns: cpu_cycle	addr_hex	value_hex
3863639	400a	ad
3863647	400b	06
3863655	400c	f0
3863663	400e	0f
3863759	4016	01
3863765	4016	00
3863962	4016	01
3863968	4016	00
3864165	4016	01
3864171	4016	00
3892754	4014	02
3893357	4000	30
3893365	4002	ad
3893384	4004	30
3893392	4006	ad
3893411	4008	80
3893419	400a	ad
3893427	400b	06
3893435	400c	f0
3893443	400e	0f
3922536	4014	02
3923143	4000	30
3923151	4002	ad
3923170	4004	30
3923178	4006	ad
3923197	4008	80
3923205	400a	ad
3923213	400b	06
3923221	400c	f0
3923229	400e	0f
3923320	4016	01
3923326	4016	00
3923523	4016	01
3923529	4016	00
3923726	4016	01
3923732	4016	00
3952315	4014	02
3952918	4000	30
3952926	4002	ad
3952945	4004	30
3952953	4006	ad
3952972	4008	80
3952980	400a	ad
3952988	400b	06
3952996	400c	f0
3953004	400e	0f
3953100	4016	01
3953106	4016	00
3953303	4016	01
3953309	4016	00
3953506	4016	01
3953512	4016	00
3982095	4014	02
3982698	4000	30
3982706	4002	ad
3982725	4004	30
3982733	4006	ad
3982752	4008	80
3982760	400a	ad
3982768	400b	06
3982776	400c	f0
3982784	400e	0f
3982880	4016	01
3982886	4016	00
3983083	4016	01
3983089	4016	00
3983286	4016	01
3983292	4016	00
4011875	4014	02
4012478	4000	30
4012486	4002	ad
4012505	4004	30
4012513	4006	ad
4012532	4008	80
4012540	400a	ad
4012548	400b	06
4012556	400c	f0
4012564	400e	0f
4012660	4016	01
4012666	4016	00
4012863	4016	01
4012869	4016	00
4013066	4016	01
4013072	4016	00
4041655	4014	02
4042258	4000	30
4042266	4002	ad
4042285	4004	30
4042293	4006	ad
4042312	4008	80
4042320	400a	ad
4042328	400b	06
4042336	400c	f0
4042344	400e	0f
4042440	4016	01
4042446	4016	00
4042643	4016	01
4042649	4016	00
4042846	4016	01
4042852	4016	00
4071435	4014	02
4072038	4000	30
4072046	4002	ad
4072065	4004	30
4072073	4006	ad
4072092	4008	80
4072100	400a	ad
4072108	400b	06
4072116	400c	f0
4072124	400e	0f
4101214	4014	02
4101821	4000	30
4101829	4002	ad
4101848	4004	30
4101856	4006	ad
4101875	4008	80
4101883	400a	ad
4101891	400b	06
4101899	400c	f0
4101907	400e	0f
4101993	4016	01
4101999	4016	00
4102196	4016	01
4102202	4016	00
4102399	4016	01
4102405	4016	00
4130994	4014	02
4131597	4000	30
4131605	4002	ad
4131624	4004	30
4131632	4006	ad
4131651	4008	80
4131659	400a	ad
4131667	400b	06
4131675	400c	f0
4131683	400e	0f
4131779	4016	01
4131785	4016	00
4131982	4016	01
4131988	4016	00
4132185	4016	01
4132191	4016	00
4160774	4014	02
4161377	4000	30
4161385	4002	ad
4161404	4004	30
4161412	4006	ad
4161431	4008	80
4161439	400a	ad
4161447	400b	06
4161455	400c	f0
4161463	400e	0f
4161559	4016	01
4161565	4016	00
4161762	4016	01
4161768	4016	00
4161965	4016	01
4161971	4016	00
4190554	4014	02
4191157	4000	30
4191165	4002	ad
4191184	4004	30
4191192	4006	ad
4191211	4008	80
4191219	400a	ad
4191227	400b	06
4191235	400c	f0
4191243	400e	0f
4191339	4016	01
4191345	4016	00
4191542	4016	01
4191548	4016	00
4191745	4016	01
4191751	4016	00
4220334	4014	02
4220937	4000	30
4220945	4002	ad
4220964	4004	30
4220972	4006	ad
4220991	4008	80
4220999	400a	ad
4221007	400b	06
4221015	400c	f0
4221023	400e	0f
4221119	4016	01
4221125	4016	00
4221322	4016	01
4221328	4016	00
4221525	4016	01
4221531	4016	00
4250114	4014	02
4250717	4000	30
4250725	4002	ad
4250744	4004	30
4250752	4006	ad
4250771	4008	80
4250779	400a	ad
4250787	400b	06
4250795	400c	f0
4250803	400e	0f
4279896	4014	02
4280503	4000	30
4280511	4002	ad
4280530	4004	30
4280538	4006	ad
4280557	4008	80
4280565	400a	ad
4280573	400b	06
4280581	400c	f0
4280589	400e	0f
4280680	4016	01
4280686	4016	00
4280883	4016	01
4280889	4016	00
4281086	4016	01
4281092	4016	00
4309675	4014	02
4310278	4000	30
4310286	4002	ad
4310305	4004	30
4310313	4006	ad
4310332	4008	80
4310340	400a	ad
4310348	400b	06
4310356	400c	f0
4310364	400e	0f
4310460	4016	01
4310466	4016	00
4310663	4016	01
4310669	4016	00
4310866	4016	01
4310872	4016	00
4339455	4014	02
4340058	4000	30
4340066	4002	ad
4340085	4004	30
4340093	4006	ad
4340112	4008	80
4340120	400a	ad
4340128	400b	06
4340136	400c	f0
4340144	400e	0f
4340240	4016	01
4340246	4016	00
4340443	4016	01
4340449	4016	00
4340646	4016	01
4340652	4016	00
4369235	4014	02
4369838	4000	30
4369846	4002	ad
4369865	4004	30
4369873	4006	ad
4369892	4008	80
4369900	400a	ad
4369908	400b	06
4369916	400c	f0
4369924	400e	0f
4370020	4016	01
4370026	4016	00
4370223	4016	01
4370229	4016	00
4370426	4016	01
4370432	4016	00
4399015	4014	02
4399618	4000	30
4399626	4002	ad
4399645	4004	30
4399653	4006	ad
4399672	4008	80
4399680	400a	ad
4399688	400b	06
4399696	400c	f0
4399704	400e	0f
4399800	4016	01
4399806	4016	00
4400003	4016	01
4400009	4016	00
4400206	4016	01
4400212	4016	00
4428795	4014	02
4429398	4000	30
4429406	4002	ad
4429425	4004	30
4429433	4006	ad
4429452	4008	80
4429460	400a	ad
4429468	400b	06
4429476	400c	f0
4429484	400e	0f
4458574	4014	02
4459181	4000	30
4459189	4002	ad
4459208	4004	30
4459216	4006	ad
4459235	4008	80
4459243	400a	ad
4459251	400b	06
4459259	400c	f0
4459267	400e	0f
4459353	4016	01
4459359	4016	00
4459556	4016	01
4459562	4016	00
4459759	4016	01
4459765	4016	00
4488354	4014	02
4488957	4000	30
4488965	4002	ad
4488984	4004	30
4488992	4006	ad
4489011	4008	80
4489019	400a	ad
4489027	400b	06
4489035	400c	f0
4489043	400e	0f
4489139	4016	01
4489145	4016	00
4489342	4016	01
4489348	4016	00
4489545	4016	01
4489551	4016	00
4518134	4014	02
4518737	4000	30
4518745	4002	ad
4518764	4004	30
4518772	4006	ad
4518791	4008	80
4518799	400a	ad
4518807	400b	06
4518815	400c	f0
4518823	400e	0f
4518919	4016	01
4518925	4016	00
4519122	4016	01
4519128	4016	00
4519325	4016	01
4519331	4016	00
4547914	4014	02
4548517	4000	30
4548525	4002	ad
4548544	4004	30
4548552	4006	ad
4548571	4008	80
4548579	400a	ad
4548587	400b	06
4548595	400c	f0
4548603	400e	0f
4548699	4016	01
4548705	4016	00
4548902	4016	01
4548908	4016	00
4549105	4016	01
4549111	4016	00
4577694	4014	02
4578297	4000	30
4578305	4002	ad
4578324	4004	30
4578332	4006	ad
4578351	4008	80
4578359	400a	ad
4578367	400b	06
4578375	400c	f0
4578383	400e	0f
4578479	4016	01
4578485	4016	00
4578682	4016	01
4578688	4016	00
4578885	4016	01
4578891	4016	00
4607474	4014	02
4608077	4000	30
4608085	4002	ad
4608104	4004	30
4608112	4006	ad
4608131	4008	80
4608139	400a	ad
4608147	400b	06
4608155	400c	f0
4608163	400e	0f
4637256	4014	02
4637863	4000	30
4637871	4002	ad
4637890	4004	30
4637898	4006	ad
4637917	4008	80
4637925	400a	ad
4637933	400b	06
4637941	400c	f0
4637949	400e	0f
4638040	4016	01
4638046	4016	00
4638243	4016	01
4638249	4016	00
4638446	4016	01
4638452	4016	00
4667035	4014	02
4667638	4000	30
4667646	4002	ad
4667665	4004	30
4667673	4006	ad
4667692	4008	80
4667700	400a	ad
4667708	400b	06
4667716	400c	f0
4667724	400e	0f
4667820	4016	01
4667826	4016	00
4668023	4016	01
4668029	4016	00
4668226	4016	01
4668232	4016	00
4696815	4014	02
4697418	4000	30
4697426	4002	ad
4697445	4004	30
4697453	4006	ad
4697472	4008	80
4697480	400a	ad
4697488	400b	06
4697496	400c	f0
4697504	400e	0f
4697600	4016	01
4697606	4016	00
4697803	4016	01
4697809	4016	00
4698006	4016	01
4698012	4016	00
4726595	4014	02
4727198	4000	30
4727206	4002	ad
4727225	4004	30
4727233	4006	ad
4727252	4008	80
4727260	400a	ad
4727268	400b	06
4727276	400c	f0
4727284	400e	0f
4727380	4016	01
4727386	4016	00
4727583	4016	01
4727589	4016	00
4727786	4016	01
4727792	4016	00
4756375	4014	02
4756978	4000	30
4756986	4002	ad
4757005	4004	30
4757013	4006	ad
4757032	4008	80
4757040	400a	ad
4757048	400b	06
4757056	400c	f0
4757064	400e	0f
4757160	4016	01
4757166	4016	00
4757363	4016	01
4757369	4016	00
4757566	4016	01
4757572	4016	00
4786155	4014	02
4786758	4000	30
4786766	4002	ad
4786785	4004	30
4786793	4006	ad
4786812	4008	80
4786820	400a	ad
4786828	400b	06
4786836	400c	f0
4786844	400e	0f
4815934	4014	02
4816541	4000	30
4816549	4002	ad
4816568	4004	30
4816576	4006	ad
4816595	4008	80
4816603	400a	ad
4816611	400b	06
4816619	400c	f0
4816627	400e	0f
4816713	4016	01
4816719	4016	00
4816916	4016	01
4816922	4016	00
4817119	4016	01
4817125	4016	00
4845714	4014	02
4846317	4000	30
4846325	4002	ad
4846344	4004	30
4846352	4006	ad
4846371	4008	80
4846379	400a	ad
4846387	400b	06
4846395	400c	f0
4846403	400e	0f
4846499	4016	01
4846505	4016	00
4846702	4016	01
4846708	4016	00
4846905	4016	01
4846911	4016	00
4875494	4014	02
4876097	4000	30
4876105	4002	ad
4876124	4004	30
4876132	4006	ad
4876151	4008	80
4876159	400a	ad
4876167	400b	06
4876175	400c	f0
4876183	400e	0f
4876279	4016	01
4876285	4016	00
4876482	4016	01
4876488	4016	00
4876685	4016	01
4876691	4016	00
4905274	4014	02
4905877	4000	30
4905885	4002	ad
4905904	4004	30
4905912	4006	ad
4905931	4008	80
4905939	400a	ad
4905947	400b	06
4905955	400c	f0
4905963	400e	0f
4906059	4016	01
4906065	4016	00
4906262	4016	01
4906268	4016	00
4906465	4016	01
4906471	4016	00
4935054	4014	02
4935657	4000	30
4935665	4002	ad
4935684	4004	30
4935692	4006	ad
4935711	4008	80
4935719	400a	ad
4935727	400b	06
4935735	400c	f0
4935743	400e	0f
4935839	4016	01
4935845	4016	00
4936042	4016	01
4936048	4016	00
4936245	4016	01
4936251	4016	00
4964834	4014	02
4965437	4000	30
4965445	4002	ad
4965464	4004	30
4965472	4006	ad
4965491	4008	80
4965499	400a	ad
4965507	400b	06
4965515	400c	f0
4965523	400e	0f
4994616	4014	02
4995223	4000	30
4995231	4002	ad
4995250	4004	30
4995258	4006	ad
4995277	4008	80
4995285	400a	ad
4995293	400b	06
4995301	400c	f0
4995309	400e	0f
4995400	4016	01
4995406	4016	00
4995603	4016	01
4995609	4016	00
4995806	4016	01
4995812	4016	00
5024395	4014	02
5024998	4000	30
5025006	4002	ad
5025025	4004	30
5025033	4006	ad
5025052	4008	80
5025060	400a	ad
5025068	400b	06
5025076	400c	f0
5025084	400e	0f
5025180	4016	01
5025186	4016	00
5025383	4016	01
5025389	4016	00
5025586	4016	01
5025592	4016	00
5054175	4014	02
5054778	4000	30
5054786	4002	ad
5054805	4004	30
5054813	4006	ad
5054832	4008	80
5054840	400a	ad
5054848	400b	06
5054856	400c	f0
5054864	400e	0f
5054960	4016	01
5054966	4016	00
5055163	4016	01
5055169	4016	00
5055366	4016	01
5055372	4016	00
5083955	4014	02
5084558	4000	30
5084566	4002	ad
5084585	4004	30
5084593	4006	ad
5084612	4008	80
5084620	400a	ad
5084628	400b	06
5084636	400c	f0
5084644	400e	0f
5084740	4016	01
5084746	4016	00
5084943	4016	01
5084949	4016	00
5085146	4016	01
5085152	4016	00
5113735	4014	02
5114338	4000	30
5114346	4002	ad
5114365	4004	30
5114373	4006	ad
5114392	4008	80
5114400	400a	ad
5114408	400b	06
5114416	400c	f0
5114424	400e	0f
5114520	4016	01
5114526	4016	00
5114723	4016	01
5114729	4016	00
5114926	4016	01
5114932	4016	00
5143515	4014	02
5144118	4000	30
5144126	4002	ad
5144145	4004	30
5144153	4006	ad
5144172	4008	80
5144180	400a	ad
5144188	400b	06
5144196	400c	f0
5144204	400e	0f
5173294	4014	02
5173901	4000	30
5173909	4002	ad
5173928	4004	30
5173936	4006	ad
5173955	4008	80
5173963	400a	ad
5173971	400b	06
5173979	400c	f0
5173987	400e	0f
5174073	4016	01
5174079	4016	00
5174276	4016	01
5174282	4016	00
5174479	4016	01
5174485	4016	00
5203074	4014	02
5203677	4000	30
5203685	4002	ad
5203704	4004	30
5203712	4006	ad
5203731	4008	80
5203739	400a	ad
5203747	400b	06
5203755	400c	f0
5203763	400e	0f
5203859	4016	01
5203865	4016	00
5204062	4016	01
5204068	4016	00
5204265	4016	01
5204271	4016	00
5232854	4014	02
5233457	4000	30
5233465	4002	ad
5233484	4004	30
5233492	4006	ad
5233511	4008	80
5233519	400a	ad
5233527	400b	06
5233535	400c	f0
5233543	400e	0f
5233639	4016	01
5233645	4016	00
5233842	4016	01
5233848	4016	00
5234045	4016	01
5234051	4016	00
5262634	4014	02
5263237	4000	30
5263245	4002	ad
5263264	4004	30
5263272	4006	ad
5263291	4008	80
5263299	400a	ad
5263307	400b	06
5263315	400c	f0
5263323	400e	0f
5263419	4016	01
5263425	4016	00
5263622	4016	01
5263628	4016	00
5263825	4016	01
5263831	4016	00
5292414	4014	02
5293017	4000	30
5293025	4002	ad
5293044	4004	30
5293052	4006	ad
5293071	4008	80
5293079	400a	ad
5293087	400b	06
5293095	400c	f0
5293103	400e	0f
5293199	4016	01
5293205	4016	00
5293402	4016	01
5293408	4016	00
5293605	4016	01
5293611	4016	00
5322194	4014	02
5322797	4000	30
5322805	4002	ad
5322824	4004	30
5322832	4006	ad
5322851	4008	80
5322859	400a	ad
5322867	400b	06
5322875	400c	f0
5322883	400e	0f
5351976	4014	02
5352583	4000	30
5352591	4002	ad
5352610	4004	30
5352618	4006	ad
5352637	4008	80
5352645	400a	ad
5352653	400b	06
5352661	400c	f0
5352669	400e	0f
5352760	4016	01
5352766	4016	00
5352963	4016	01
5352969	4016	00
5353166	4016	01
5353172	4016	00
5381755	4014	02
5382358	4000	30
5382366	4002	ad
5382385	4004	30
5382393	4006	ad
5382412	4008	80
5382420	400a	ad
5382428	400b	06
5382436	400c	f0
5382444	400e	0f
5382540	4016	01
5382546	4016	00
5382743	4016	01
5382749	4016	00
5382946	4016	01
5382952	4016	00
5411535	4014	02
5412138	4000	30
5412146	4002	ad
5412165	4004	30
5412173	4006	ad
5412192	4008	80
5412200	400a	ad
5412208	400b	06
5412216	400c	f0
5412224	400e	0f
5412320	4016	01
5412326	4016	00
5412523	4016	01
5412529	4016	00
5412726	4016	01
5412732	4016	00
5441315	4014	02
5441918	4000	30
5441926	4002	ad
5441945	4004	30
5441953	4006	ad
5441972	4008	80
5441980	400a	ad
5441988	400b	06
5441996	400c	f0
5442004	400e	0f
5442100	4016	01
5442106	4016	00
5442303	4016	01
5442309	4016	00
5442506	4016	01
5442512	4016	00
5471095	4014	02
5471698	4000	30
5471706	4002	ad
5471725	4004	30
5471733	4006	ad
5471752	4008	80
5471760	400a	ad
5471768	400b	06
5471776	400c	f0
5471784	400e	0f
5471880	4016	01
5471886	4016	00
5472083	4016	01
5472089	4016	00
5472286	4016	01
5472292	4016	00
5500875	4014	02
5501478	4000	30
5501486	4002	ad
5501505	4004	30
5501513	4006	ad
5501532	4008	80
5501540	400a	ad
5501548	400b	06
5501556	400c	f0
5501564	400e	0f
5530654	4014	02
5531261	4000	30
5531269	4002	ad
5531288	4004	30
5531296	4006	ad
5531315	4008	80
5531323	400a	ad
5531331	400b	06
5531339	400c	f0
5531347	400e	0f
5531433	4016	01
5531439	4016	00
5531636	4016	01
5531642	4016	00
5531839	4016	01
5531845	4016	00
5560434	4014	02
5561037	4000	30
5561045	4002	ad
5561064	4004	30
5561072	4006	ad
5561091	4008	80
5561099	400a	ad
5561107	400b	06
5561115	400c	f0
5561123	400e	0f
5561219	4016	01
5561225	4016	00
5561422	4016	01
5561428	4016	00
5561625	4016	01
5561631	4016	00
5590214	4014	02
5590817	4000	30
5590825	4002	ad
5590844	4004	30
5590852	4006	ad
5590871	4008	80
5590879	400a	ad
5590887	400b	06
5590895	400c	f0
5590903	400e	0f
5590999	4016	01
5591005	4016	00
5591202	4016	01
5591208	4016	00
5591405	4016	01
5591411	4016	00
5619994	4014	02
5620597	4000	30
5620605	4002	ad
5620624	4004	30
5620632	4006	ad
5620651	4008	80
5620659	400a	ad
5620667	400b	06
5620675	400c	f0
5620683	400e	0f
5620779	4016	01
5620785	4016	00
5620982	4016	01
5620988	4016	00
5621185	4016	01
5621191	4016	00
5649774	4014	02
5650377	4000	30
5650385	4002	ad
5650404	4004	30
5650412	4006	ad
5650431	4008	80
5650439	400a	ad
5650447	400b	06
5650455	400c	f0
5650463	400e	0f
5650559	4016	01
5650565	4016	00
5650762	4016	01
5650768	4016	00
5650965	4016	01
5650971	4016	00
5679554	4014	02
5680157	4000	30
5680165	4002	ad
5680184	4004	30
5680192	4006	ad
5680211	4008	80
5680219	400a	ad
5680227	400b	06
5680235	400c	f0
5680243	400e	0f
5709336	4014	02
5709943	4000	30
5709951	4002	ad
5709970	4004	30
5709978	4006	ad
5709997	4008	80
5710005	400a	ad
5710013	400b	06
5710021	400c	f0
5710029	400e	0f
5710120	4016	01
5710126	4016	00
5710323	4016	01
5710329	4016	00
5710526	4016	01
5710532	4016	00
5739115	4014	02
5739718	4000	30
5739726	4002	ad
5739745	4004	30
5739753	4006	ad
5739772	4008	80
5739780	400a	ad
5739788	400b	06
5739796	400c	f0
5739804	400e	0f
5739900	4016	01
5739906	4016	00
5740103	4016	01
5740109	4016	00
5740306	4016	01
5740312	4016	00
5768895	4014	02
5769498	4000	30
5769506	4002	ad
5769525	4004	30
5769533	4006	ad
5769552	4008	80
5769560	400a	ad
5769568	400b	06
5769576	400c	f0
5769584	400e	0f
5769680	4016	01
5769686	4016	00
5769883	4016	01
5769889	4016	00
5770086	4016	01
5770092	4016	00
5798675	4014	02
5799278	4000	30
5799286	4002	ad
5799305	4004	30
5799313	4006	ad
5799332	4008	80
5799340	400a	ad
5799348	400b	06
5799356	400c	f0
5799364	400e	0f
5799460	4016	01
5799466	4016	00
5799663	4016	01
5799669	4016	00
5799866	4016	01
5799872	4016	00
5828455	4014	02
5829058	4000	30
5829066	4002	ad
5829085	4004	30
5829093	4006	ad
5829112	4008	80
5829120	400a	ad
5829128	400b	06
5829136	400c	f0
5829144	400e	0f
5829240	4016	01
5829246	4016	00
5829443	4016	01
5829449	4016	00
5829646	4016	01
5829652	4016	00
5858235	4014	02
5858838	4000	30
5858846	4002	ad
5858865	4004	30
5858873	4006	ad
5858892	4008	80
5858900	400a	ad
5858908	400b	06
5858916	400c	f0
5858924	400e	0f
5888014	4014	02
5888621	4000	30
5888629	4002	ad
5888648	4004	30
5888656	4006	ad
5888675	4008	80
5888683	400a	ad
5888691	400b	06
5888699	400c	f0
5888707	400e	0f
5888793	4016	01
5888799	4016	00
5888996	4016	01
5889002	4016	00
5889199	4016	01
5889205	4016	00
5917794	4014	02
5918397	4000	30
5918405	4002	ad
5918424	4004	30
5918432	4006	ad
5918451	4008	80
5918459	400a	ad
5918467	400b	06
5918475	400c	f0
5918483	400e	0f
5918579	4016	01
5918585	4016	00
5918782	4016	01
5918788	4016	00
5918985	4016	01
5918991	4016	00
5947574	4014	02
5948177	4000	30
5948185	4002	ad
5948204	4004	30
5948212	4006	ad
5948231	4008	80
5948239	400a	ad
5948247	400b	06
5948255	400c	f0
5948263	400e	0f
5948359	4016	01
5948365	4016	00
5948562	4016	01
5948568	4016	00
5948765	4016	01
5948771	4016	00
5977354	4014	02
5977957	4000	30
5977965	4002	ad
5977984	4004	30
5977992	4006	ad
5978011	4008	80
5978019	400a	ad
5978027	400b	06
5978035	400c	f0
5978043	400e	0f
5978139	4016	01
5978145	4016	00
5978342	4016	01
5978348	4016	00
5978545	4016	01
5978551	4016	00
6007134	4014	02
6007737	4000	30
6007745	4002	ad
6007764	4004	30
6007772	4006	ad
6007791	4008	80
6007799	400a	ad
6007807	400b	06
6007815	400c	f0
6007823	400e	0f
6007919	4016	01
6007925	4016	00
6008122	4016	01
6008128	4016	00
6008325	4016	01
6008331	4016	00
6036914	4014	02
6037517	4000	30
6037525	4002	ad
6037544	4004	30
6037552	4006	ad
6037571	4008	80
6037579	400a	ad
6037587	400b	06
6037595	400c	f0
6037603	400e	0f
6066696	4014	02
6067303	4000	30
6067311	4002	ad
6067330	4004	30
6067338	4006	ad
6067357	4008	80
6067365	400a	ad
6067373	400b	06
6067381	400c	f0
6067389	400e	0f
6067480	4016	01
6067486	4016	00
6067683	4016	01
6067689	4016	00
6067886	4016	01
6067892	4016	00
6096475	4014	02
6097078	4000	30
6097086	4002	ad
6097105	4004	30
6097113	4006	ad
6097132	4008	80
6097140	400a	ad
6097148	400b	06
6097156	400c	f0
6097164	400e	0f
6097260	4016	01
6097266	4016	00
6097463	4016	01
6097469	4016	00
6097666	4016	01
6097672	4016	00
6126255	4014	02
6126858	4000	30
6126866	4002	ad
6126885	4004	30
6126893	4006	ad
6126912	4008	80
6126920	400a	ad
6126928	400b	06
6126936	400c	f0
6126944	400e	0f
6127040	4016	01
6127046	4016	00
6127243	4016	01
6127249	4016	00
6127446	4016	01
6127452	4016	00
6156035	4014	02
6156638	4000	30
6156646	4002	ad
6156665	4004	30
6156673	4006	ad
6156692	4008	80
6156700	400a	ad
6156708	400b	06
6156716	400c	f0
6156724	400e	0f
6156820	4016	01
6156826	4016	00
6157023	4016	01
6157029	4016	00
6157226	4016	01
6157232	4016	00
6185815	4014	02
6186418	4000	30
6186426	4002	ad
6186445	4004	30
6186453	4006	ad
6186472	4008	80
6186480	400a	ad
6186488	400b	06
6186496	400c	f0
6186504	400e	0f
6186600	4016	01
6186606	4016	00
6186803	4016	01
6186809	4016	00
6187006	4016	01
6187012	4016	00
6215595	4014	02
6216198	4000	30
6216206	4002	ad
6216225	4004	30
6216233	4006	ad
6216252	4008	80
6216260	400a	ad
6216268	400b	06
6216276	400c	f0
6216284	400e	0f
6245374	4014	02
6245981	4000	30
6245989	4002	ad
6246008	4004	30
6246016	4006	ad
6246035	4008	80
6246043	400a	ad
6246051	400b	06
6246059	400c	f0
6246067	400e	0f
6246153	4016	01
6246159	4016	00
6246356	4016	01
6246362	4016	00
6246559	4016	01
6246565	4016	00
6275154	4014	02
6275757	4000	30
6275765	4002	ad
6275784	4004	30
6275792	4006	ad
6275811	4008	80
6275819	400a	ad
6275827	400b	06
6275835	400c	f0
6275843	400e	0f
6275939	4016	01
6275945	4016	00
6276142	4016	01
6276148	4016	00
6276345	4016	01
6276351	4016	00
6304934	4014	02
6305537	4000	30
6305545	4002	ad
6305564	4004	30
6305572	4006	ad
6305591	4008	80
6305599	400a	ad
6305607	400b	06
6305615	400c	f0
6305623	400e	0f
6305719	4016	01
6305725	4016	00
6305922	4016	01
6305928	4016	00
6306125	4016	01
6306131	4016	00
6334714	4014	02
6335317	4000	30
6335325	4002	ad
6335344	4004	30
6335352	4006	ad
6335371	4008	80
6335379	400a	ad
6335387	400b	06
6335395	400c	f0
6335403	400e	0f
6335499	4016	01
6335505	4016	00
6335702	4016	01
6335708	4016	00
6335905	4016	01
6335911	4016	00
6364494	4014	02
6365097	4000	30
6365105	4002	ad
6365124	4004	30
6365132	4006	ad
6365151	4008	80
6365159	400a	ad
6365167	400b	06
6365175	400c	f0
6365183	400e	0f
6365279	4016	01
6365285	4016	00
6365482	4016	01
6365488	4016	00
6365685	4016	01
6365691	4016	00
6394274	4014	02
6394877	4000	30
6394885	4002	ad
6394904	4004	30
6394912	4006	ad
6394931	4008	80
6394939	400a	ad
6394947	400b	06
6394955	400c	f0
6394963	400e	0f
6424056	4014	02
6424663	4000	30
6424671	4002	ad
6424690	4004	30
6424698	4006	ad
6424717	4008	80
6424725	400a	ad
6424733	400b	06
6424741	400c	f0
6424749	400e	0f
6424840	4016	01
6424846	4016	00
6425043	4016	01
6425049	4016	00
6425246	4016	01
6425252	4016	00
6453835	4014	02
6454438	4000	30
6454446	4002	ad
6454465	4004	30
6454473	4006	ad
6454492	4008	80
6454500	400a	ad
6454508	400b	06
6454516	400c	f0
6454524	400e	0f
6454620	4016	01
6454626	4016	00
6454823	4016	01
6454829	4016	00
6455026	4016	01
6455032	4016	00
6483615	4014	02
6484218	4000	30
6484226	4002	ad
6484245	4004	30
6484253	4006	ad
6484272	4008	80
6484280	400a	ad
6484288	400b	06
6484296	400c	f0
6484304	400e	0f
6484400	4016	01
6484406	4016	00
6484603	4016	01
6484609	4016	00
6484806	4016	01
6484812	4016	00
6513395	4014	02
6513998	4000	30
6514006	4002	ad
6514025	4004	30
6514033	4006	ad
6514052	4008	80
6514060	400a	ad
6514068	400b	06
6514076	400c	f0
6514084	400e	0f
6514180	4016	01
6514186	4016	00
6514383	4016	01
6514389	4016	00
6514586	4016	01
6514592	4016	00
6543175	4014	02
6543778	4000	30
6543786	4002	ad
6543805	4004	30
6543813	4006	ad
6543832	4008	80
6543840	400a	ad
6543848	400b	06
6543856	400c	f0
6543864	400e	0f
6543960	4016	01
6543966	4016	00
6544163	4016	01
6544169	4016	00
6544366	4016	01
6544372	4016	00
6572955	4014	02
6573558	4000	30
6573566	4002	ad
6573585	4004	30
6573593	4006	ad
6573612	4008	80
6573620	400a	ad
6573628	400b	06
6573636	400c	f0
6573644	400e	0f
6602734	4014	02
6603341	4000	30
6603349	4002	ad
6603368	4004	30
6603376	4006	ad
6603395	4008	80
6603403	400a	ad
6603411	400b	06
6603419	400c	f0
6603427	400e	0f
6603513	4016	01
6603519	4016	00
6603716	4016	01
6603722	4016	00
6603919	4016	01
6603925	4016	00
6632514	4014	02
6633117	4000	30
6633125	4002	ad
6633144	4004	30
6633152	4006	ad
6633171	4008	80
6633179	400a	ad
6633187	400b	06
6633195	400c	f0
6633203	400e	0f
6633299	4016	01
6633305	4016	00
6633502	4016	01
6633508	4016	00
6633705	4016	01
6633711	4016	00
6662294	4014	02
6662897	4000	30
6662905	4002	ad
6662924	4004	30
6662932	4006	ad
6662951	4008	80
6662959	400a	ad
6662967	400b	06
6662975	400c	f0
6662983	400e	0f
6663079	4016	01
6663085	4016	00
6663282	4016	01
6663288	4016	00
6663485	4016	01
6663491	4016	00
6692074	4014	02
6692677	4000	30
6692685	4002	ad
6692704	4004	30
6692712	4006	ad
6692731	4008	80
6692739	400a	ad
6692747	400b	06
6692755	400c	f0
6692763	400e	0f
6692859	4016	01
6692865	4016	00
6693062	4016	01
6693068	4016	00
6693265	4016	01
6693271	4016	00
6721854	4014	02
6722457	4000	30
6722465	4002	ad
6722484	4004	30
6722492	4006	ad
6722511	4008	80
6722519	400a	ad
6722527	400b	06
6722535	400c	f0
6722543	400e	0f
6751636	4014	02
6752239	4000	30
6752247	4002	ad
6752266	4004	30
6752274	4006	ad
6752293	4008	80
6752301	400a	ad
6752309	400b	06
6752317	400c	f0
6752325	400e	0f
6781415	4014	02
6782022	4000	30
6782030	4002	ad
6782049	4004	30
6782057	4006	ad
6782076	4008	80
6782084	400a	ad
6782092	400b	06
6782100	400c	f0
6782108	400e	0f
6811195	4014	02
6811798	4000	30
6811806	4002	ad
6811825	4004	30
6811833	4006	ad
6811852	4008	80
6811860	400a	ad
6811868	400b	06
6811876	400c	f0
6811884	400e	0f
6840975	4014	02
6841578	4000	30
6841586	4002	ad
6841605	4004	30
6841613	4006	ad
6841632	4008	80
6841640	400a	ad
6841648	400b	06
6841656	400c	f0
6841664	400e	0f
6870755	4014	02
6871358	4000	30
6871366	4002	ad
6871385	4004	30
6871393	4006	ad
6871412	4008	80
6871420	400a	ad
6871428	400b	06
6871436	400c	f0
6871444	400e	0f
6900534	4014	02
