# qlnes-spike-trace v0
# columns: cpu_cycle	addr_hex	value_hex
1600387	400e	0f
1600473	4016	01
1600479	4016	00
1600676	4016	01
1600682	4016	00
1600879	4016	01
1600885	4016	00
1629474	4014	02
1630077	4000	30
1630085	4002	ad
1630104	4004	30
1630112	4006	ad
1630131	4008	80
1630139	400a	ad
1630147	400b	06
1630155	400c	f0
1630163	400e	0f
1630259	4016	01
1630265	4016	00
1630462	4016	01
1630468	4016	00
1630665	4016	01
1630671	4016	00
1659254	4014	02
1659857	4000	30
1659865	4002	ad
1659884	4004	30
1659892	4006	ad
1659911	4008	80
1659919	400a	ad
1659927	400b	06
1659935	400c	f0
1659943	400e	0f
1660039	4016	01
1660045	4016	00
1660242	4016	01
1660248	4016	00
1660445	4016	01
1660451	4016	00
1689034	4014	02
1689637	4000	30
1689645	4002	ad
1689664	4004	30
1689672	4006	ad
1689691	4008	80
1689699	400a	ad
1689707	400b	06
1689715	400c	f0
1689723	400e	0f
1689819	4016	01
1689825	4016	00
1690022	4016	01
1690028	4016	00
1690225	4016	01
1690231	4016	00
1718814	4014	02
1719417	4000	30
1719425	4002	ad
1719444	4004	30
1719452	4006	ad
1719471	4008	80
1719479	400a	ad
1719487	400b	06
1719495	400c	f0
1719503	400e	0f
1719599	4016	01
1719605	4016	00
1719802	4016	01
1719808	4016	00
1720005	4016	01
1720011	4016	00
1748594	4014	02
1749197	4000	30
1749205	4002	ad
1749224	4004	30
1749232	4006	ad
1749251	4008	80
1749259	400a	ad
1749267	400b	06
1749275	400c	f0
1749283	400e	0f
1778376	4014	02
1778983	4000	30
1778991	4002	ad
1779010	4004	30
1779018	4006	ad
1779037	4008	80
1779045	400a	ad
1779053	400b	06
1779061	400c	f0
1779069	400e	0f
1779160	4016	01
1779166	4016	00
1779363	4016	01
1779369	4016	00
1779566	4016	01
1779572	4016	00
1808155	4014	02
1808758	4000	30
1808766	4002	ad
1808785	4004	30
1808793	4006	ad
1808812	4008	80
1808820	400a	ad
1808828	400b	06
1808836	400c	f0
1808844	400e	0f
1808940	4016	01
1808946	4016	00
1809143	4016	01
1809149	4016	00
1809346	4016	01
1809352	4016	00
1837935	4014	02
1838538	4000	30
1838546	4002	ad
1838565	4004	30
1838573	4006	ad
1838592	4008	80
1838600	400a	ad
1838608	400b	06
1838616	400c	f0
1838624	400e	0f
1838720	4016	01
1838726	4016	00
1838923	4016	01
1838929	4016	00
1839126	4016	01
1839132	4016	00
1867715	4014	02
1868318	4000	30
1868326	4002	ad
1868345	4004	30
1868353	4006	ad
1868372	4008	80
1868380	400a	ad
1868388	400b	06
1868396	400c	f0
1868404	400e	0f
1868500	4016	01
1868506	4016	00
1868703	4016	01
1868709	4016	00
1868906	4016	01
1868912	4016	00
